								
																	
ISBN	SELO	EDIÇÃO	VOLUME / SÉRIE	DISCIPLINA	SEGMENTO	COLEÇÃO	OBRA	AUTOR									
9788547400132	SCIPIONE	2	6º Ano	História	Ensino Fundamental 2	Mosaico História	Projeto Mosaico: História 6º ano	Cláudio Vicentino									
9788547400156	SCIPIONE	2	7º Ano	História	Ensino Fundamental 2	Mosaico História	Projeto Mosaico: História 7º ano	Cláudio Vicentino									
9788547400170	SCIPIONE	2	8º Ano	História	Ensino Fundamental 2	Mosaico História	Projeto Mosaico: História 8º ano	Cláudio Vicentino									
9788547400194	SCIPIONE	2	9º Ano	História	Ensino Fundamental 2	Mosaico História	Projeto Mosaico: História 9º ano	Cláudio Vicentino									
9788526298996	SCIPIONE	3	6º Ano	Arte	Ensino Fundamental 2	Projeto Arte	PROJETO ARTE 6º ano	Beá Meira									
9788526299016	SCIPIONE	3	7º Ano	Arte	Ensino Fundamental 2	Projeto Arte	PROJETO ARTE 7º ano	Beá Meira									
9788526299030	SCIPIONE	3	8º Ano	Arte	Ensino Fundamental 2	Projeto Arte	PROJETO ARTE 8º ano	Beá Meira									
9788526299054	SCIPIONE	3	9º Ano	Arte	Ensino Fundamental 2	Projeto Arte	PROJETO ARTE 9º ano	Beá Meira									
9788526275638	SCIPIONE	2	9º Ano	Arte	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - ARTE	Beá Meira									
9788526275614	SCIPIONE	2	8º Ano	Arte	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - ARTE	Beá Meira									
9788526275591	SCIPIONE	2	7º Ano	Arte	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - ARTE	Beá Meira									
9788526275577	SCIPIONE	2	6º Ano	Arte	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - ARTE	Beá Meira									
2759449	SCIPIONE	1	6º Ano	Espanhol	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - ESPANHOL	Fernanda Castelano, Wilson Alves - Bezerra									
2759456	SCIPIONE	1	7º Ano	Espanhol	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - ESPANHOL	Fernanda Castelano, Wilson Alves - Bezerra									
2759463	SCIPIONE	1	8º Ano	Espanhol	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - ESPANHOL	Fernanda Castelano, Wilson Alves - Bezerra									
2759470	SCIPIONE	1	9º Ano	Espanhol	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - ESPANHOL	Fernanda Castelano, Wilson Alves - Bezerra									
9788526291805	SCIPIONE	3	9º Ano	História	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - HISTÓRIA	Cláudio Vicentino									
9788526291720	SCIPIONE	3	8º Ano	História	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - HISTÓRIA	Cláudio Vicentino									
9788526291645	SCIPIONE	3	7º Ano	História	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - HISTÓRIA	Cláudio Vicentino									
9788526291560	SCIPIONE	3	6º Ano	História	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - HISTÓRIA	Cláudio Vicentino									
275940	SCIPIONE	1	6º Ano	Inglês	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - INGLÊS	Elizabeth Young Chin e Maria Lucia Zaorob									
2759418	SCIPIONE	1	7º Ano	Inglês	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - INGLÊS	Elizabeth Young Chin e Maria Lucia Zaorob									
2759425	SCIPIONE	1	8º Ano	Inglês	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - INGLÊS	Elizabeth Young Chin e Maria Lucia Zaorob									
2759432	SCIPIONE	1	9º Ano	Inglês	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - INGLÊS	Elizabeth Young Chin e Maria Lucia Zaorob									
9788526275553	SCIPIONE	1	9º Ano	Redação	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - PRODUÇÃO DE TEXTOS	Maria Sílvia Gonçalves									
9788526275539	SCIPIONE	1	8º Ano	Redação	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - PRODUÇÃO DE TEXTOS	Maria Sílvia Gonçalves									
9788526275515	SCIPIONE	1	7º Ano	Redação	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - PRODUÇÃO DE TEXTOS	Maria Sílvia Gonçalves									
9788526275492	SCIPIONE	1	6º Ano	Redação	Ensino Fundamental 2	Projeto Radix	PROJETO RADIX - PRODUÇÃO DE TEXTOS	Maria Sílvia Gonçalves									
9788526295254	SCIPIONE	2	VU	Arte	Ensino Médio	ARTE: DO RUPRESTE AO REMIX	ARTE: DO RUPRESTE AO REMIX										
9788526259270	SCIPIONE	7	VU	Gramática	Ensino Médio	Curso de Gramática Aplicada aos Textos	CURSO DE GRAMÁTICA APLICADA AOS TEXTOS	Ulisses Infante									
9788526278011	SCIPIONE	6	VU	Gramática	Ensino Médio	Curso Prático de Gramática	CURSO PRÁTICO DE GRAMÁTICA	Ernani Terra									
9788526295230	SCIPIONE	1	VU	Filosofia	Ensino Médio	FILOSOFIA: EXPERIÊNCIA DO PENSAMENTO	FILOSOFIA: EXPERIÊNCIA DO PENSAMENTO	Silvio Gallo									
9788526278035	SCIPIONE	1	1º Ano	Física	Ensino Médio	Física Contexto e Aplicações	FÍSICA - CONTEXTO & APLICAÇÕES	Antônio Máximo e Beatriz Alvarenga									
9788526284623	SCIPIONE	1	2º Ano	Física	Ensino Médio	Física Contexto e Aplicações	FÍSICA - CONTEXTO & APLICAÇÕES	Antônio Máximo e Beatriz Alvarenga									
9788526284647	SCIPIONE	1	3º Ano	Física	Ensino Médio	Física Contexto e Aplicações	FÍSICA - CONTEXTO & APLICAÇÕES	Antônio Máximo e Beatriz Alvarenga									
9788526290341	SCIPIONE	2	3º Ano	Geografia	Ensino Médio	Geografia Geral e Do Brasil - GGB	GEOGRAFIA GERAL E DO BRASIL	João Carlos Moreira e Eustáquio de Sene									
9788526290327	SCIPIONE	2	2º Ano	Geografia	Ensino Médio	Geografia Geral e Do Brasil - GGB	GEOGRAFIA GERAL E DO BRASIL	João Carlos Moreira e Eustáquio de Sene									
9788526290303	SCIPIONE	2	1º Ano	Geografia	Ensino Médio	Geografia Geral e Do Brasil - GGB	GEOGRAFIA GERAL E DO BRASIL	João Carlos Moreira e Eustáquio de Sene									
9788526288881	SCIPIONE	5	VU	Geografia	Ensino Médio	Geografia Geral e Do Brasil - GGB	GEOGRAFIA GERAL E DO BRASIL - VOLUME ÚNICO	João Carlos Moreira e Eustáquio de Sene									
9788526270763	SCIPIONE	3	VU	Gramática	Ensino Médio	Gramática da Língua Portuguesa	GRAMÁTICA DA LÍNGUA PORTUGUESA	Pasquale Cipro Neto e Ulisses Infante									
9788526275331	SCIPIONE	2	VU	Gramática	Ensino Médio	Gramática Palavra, Frase e Texto	GRAMÁTICA - PALAVRA, FRASE E TEXTO	José De Nicola									
9788526283633	SCIPIONE	3	VU	História	Ensino Médio	História do Brasil	HISTÓRIA DO BRASIL	Cláudio Vicentino e Gianpaolo Dorigo									
9788526283657	SCIPIONE	11	VU	História	Ensino Médio	História Geral	HISTÓRIA GERAL	Cláudio Vicentino									
2589305	SCIPIONE	1	VU	História	Ensino Médio	História Geral e do Brasil - HGB 	HISTÓRIA - GERAL E DO BRASIL	Cláudio Vicentino e Gianpaolo Dorigo									
9788526287235	SCIPIONE	3	3º Ano	Português	Ensino Médio	Língua Lit e Prod De Textos (Nicola)	LÍNGUA, LITERATURA E PRODUÇÃO DE TEXTOS	José De Nicola									
9788526287211	SCIPIONE	3	2º Ano	Português	Ensino Médio	Língua Lit e Prod De Textos (Nicola)	LÍNGUA, LITERATURA E PRODUÇÃO DE TEXTOS	José De Nicola									
9788526287198	SCIPIONE	3	1º Ano	Português	Ensino Médio	Língua Lit e Prod De Textos (Nicola)	LÍNGUA, LITERATURA E PRODUÇÃO DE TEXTOS	José De Nicola									
9788526284395	SCIPIONE	18	VU	Literatura	Ensino Médio	Literatura Brasileira - Nicola	LITERATURA BRASILEIRA - DAS ORIGENS AOS NOSSOS DIAS	José De Nicola									
9788526284784	SCIPIONE	2	VU	Literatura	Ensino Médio	Painel da Literatura	PAINEL DA LITERATURA EM LÍNGUA PORTUGUESA	José De Nicola									
9788526267046	SCIPIONE	5	VU	Filosofia	Ensino Médio	Para Filosofar	PARA FILOSOFAR	Avelino Correa e outros									
9788526293960	SCIPIONE	1	VU	Geografia	Ensino Médio	Projeto Múltiplo	PROJETO MÚLTIPLO - GEOGRAFIA	Eustáquio de Sene e João Carlos Moreira									
9788526293441	SCIPIONE	1	VU	Gramática	Ensino Médio	Projeto Múltiplo	PROJETO MÚLTIPLO - GRAMÁTICA	José De Nicola									
9788526293946	SCIPIONE	1	VU	História	Ensino Médio	Projeto Múltiplo	PROJETO MÚLTIPLO - HISTÓRIA	Cláudio Vicentino, Gianpaolo Dorigo e José Vicentino									
9788526293465	SCIPIONE	1	VU	Literatura	Ensino Médio	Projeto Múltiplo	PROJETO MÚLTIPLO - LITERATURA	José De Nicola									
9788526289741	SCIPIONE	1	VU	Química	Ensino Médio	Projeto Voaz	PROJETO  VOAZ - QUIMICA	Andréa Machado e Eduardo Mortimer									
9788526290280	SCIPIONE	1	VU	Física	Ensino Médio	Projeto Voaz	PROJETO VOAZ - FÍSICA	Antônio Máximo e Beatriz Alvarenga									
9788526284418	SCIPIONE	1	VU	Redação 	Ensino Médio	Redação 	GUIA DE REDAÇÃO: ESCREVER MELHOR	Editora Scipione									
9788526280724	SCIPIONE	3	VU	Química	Ensino Médio	Tabela Periódica	TABELA PERIÓDICA										
9788508039968	ÁTICA	8			Informativo Infantil	ÁLBUNS DOS PINGOS	ALFABETO DOS PINGOS!	MARY E ELIARDO FRANÇA									
9788508043583	ÁTICA	6			Informativo Infantil	ÁLBUNS DOS PINGOS	CALOR E FRIO, FRUTOS E FLORES!	MARY E ELIARDO FRANÇA									
9788508039999	ÁTICA	5			Informativo Infantil	ÁLBUNS DOS PINGOS	NÚMEROS DOS PINGOS!	MARY E ELIARDO FRANÇA									
9788508067183	ÁTICA	4			Informativo Infantil	ÁLBUNS DOS PINGOS	VIAGEM À LUA, UMA	MARY E ELIARDO FRANÇA									
9788508110643	ÁTICA	1			Informativo Infantil	AVULSO	ALFABETO DE HISTÓRIAS	GILLES EDUAR									
9788508175611	ÁTICA	1			Informativo Infantil	AVULSO	BRASIL DE FIO A PAVIO - viagem pelos estados brasileiros	GILLES EDUAR									
2620572	ÁTICA	1			Informativo Infantil	AVULSO	CANTEIRO - MÚSICAS PARA BRINCAR	MARGARETH DAREZZO									
9788508117222	ÁTICA	8			Informativo Infantil	AVULSO	CRIANÇAS COMO VOCÊ	ANABEL KINDERLEY, BARNABAS KINDERSLEY									
9788508114924	ÁTICA	1			Informativo Infantil	AVULSO	ESCOLAS COMO A SUA	PENNY SMITH, ZAHAVIT SHALEV									
9788508145416	ÁTICA	1			Informativo Infantil	AVULSO	ESPERANÇA É O BICHO, A	ROGERIO G. NIGRO									
9788508126798	ÁTICA	1			Informativo Infantil	AVULSO	ESPETÁCULO DE NÚMEROS	GILLES EDUAR									
2249957	ÁTICA				Informativo Infantil	AVULSO	LIVRO DAS EMERGÊNCIAS, O	ALINE ANGELI									
9788508147656	ÁTICA	1			Informativo Infantil	AVULSO	NASCIMENTO DO UNIVERSO, O (brochura)	JUDITH NURIA MAIDA, FERNANDO VILELA									
9788508120475	ÁTICA	1			Informativo Infantil	AVULSO	NASCIMENTO DO UNIVERSO, O (capa dura)	JUDITH NURIA MAIDA, FERNANDO VILELA									
9788508128648	ÁTICA	1			Informativo Infantil	CHARLIE E LOLA (livros empastados)	AÇÕES	LAUREN CHILD									
9788508121892	ÁTICA	1			Informativo Infantil	CHARLIE E LOLA (livros empastados)	ANIMAIS	LAUREN CHILD									
9788508121908	ÁTICA	1			Informativo Infantil	CHARLIE E LOLA (livros empastados)	COISAS	LAUREN CHILD									
9788508121915	ÁTICA	1			Informativo Infantil	CHARLIE E LOLA (livros empastados)	CORES	LAUREN CHILD									
9788508121922	ÁTICA	1			Informativo Infantil	CHARLIE E LOLA (livros empastados)	FORMAS	LAUREN CHILD									
9788508121885	ÁTICA	1			Informativo Infantil	CHARLIE E LOLA (livros empastados)	NÚMEROS	LAUREN CHILD									
9788508121939	ÁTICA	1			Informativo Infantil	CHARLIE E LOLA (livros empastados)	OPOSTOS	LAUREN CHILD									
9788508128655	ÁTICA	1			Informativo Infantil	CHARLIE E LOLA (livros empastados)	ROUPAS	LAUREN CHILD									
9788508092321	ÁTICA	1			Informativo Infantil	GUIA DA CRIANÇA CIDADÃ	CONVIVENDO COM A ECOLOGIA	GWENAËLLE BOULET, LAURE SAINT-MARC, NATHALIE TORDJMAN									
9788508086894	ÁTICA	1			Informativo Infantil	GUIA DA CRIANÇA CIDADÃ	CONVIVENDO COM AS DIFERENÇAS	LAURA JAFFÉ, LAURE SAINT-MARC									
9788508143580	ÁTICA	16			Informativo Infantil	PÉ NO CHÃO	CAÇA AO TESOURO - UMA VIAGEM ECOLÓGICA	LILIANA IACOCCA									
9788508143528	ÁTICA	2			Informativo Infantil	PÉ NO CHÃO	DE ONDE VOCÊ VEIO? - DISCUTINDO PRECONCEITOS	LILIANA E MICHELE IACOCCA									
9788508143566	ÁTICA	15			Informativo Infantil	PÉ NO CHÃO	ENTRE NESTE LIVRO - A CONSTITUIÇÃO PARA CRIANÇAS	LILIANA IACOCCA									
9788508154388	ÁTICA	2			Informativo Infantil	PÉ NO CHÃO	EU COMO ASSIM OU ASSADO? - CONHECENDO MELHOR O QUE VOCÊ COME	MICHELE IACOCCA									
9788508166176	ÁTICA	7			Informativo Infantil	PÉ NO CHÃO	EU E OS OUTROS - MELHORANDO AS RELAÇÕES	LILIANA E MICHELE IACOCCA									
9788508154401	ÁTICA	1			Informativo Infantil	PÉ NO CHÃO	MÃO E CONTRAMÃO - A AVENTURA DO TRÂNSITO	LILIANA E MICHELE IACOCCA									
9788508132157	ÁTICA	1			Informativo Infantil	PÉ NO CHÃO	MEU, O SEU, O NOSSO, O -  REFLETINDO SOBRE ATITUDES E ESPAÇOS DE CONVIVÊNCIA	MICHELE IACOCCA									
9788508145393	ÁTICA	1			Informativo Infantil	PÉ NO CHÃO	PENSE BEM - DESCOBRINDO A FILOSOFIA	CAROLINA MICHELINI, MICHELE IACOCCA									
9788508143504	ÁTICA	8			Informativo Infantil	PÉ NO CHÃO	PLANETA EU, O - CONVERSANDO SOBRE SEXO	LILIANA E MICHELE IACOCCA									
9788508143542	ÁTICA	17			Informativo Infantil	PÉ NO CHÃO	QUE FAZER? - FALANDO DE CONVIVÊNCIA, O	LILIANA E MICHELE IACOCCA									
9788508160389	ÁTICA	6			Informativo Infantil	TURMA DA MATEMÁTICA	...E ELES QUERIAM CONTAR	LUZIA FARACO RAMOS									
9788508087914	ÁTICA	5			Informativo Infantil	TURMA DA MATEMÁTICA	CARAMELOS DA ALEGRIA	LUZIA FARACO RAMOS									
9788508087891	ÁTICA	5			Informativo Infantil	TURMA DA MATEMÁTICA	DOCES FRAÇÕES	LUZIA FARACO RAMOS									
9788508087938	ÁTICA	3			Informativo Infantil	TURMA DA MATEMÁTICA	HISTÓRIA DO OUTRO PLANETA, UMA	LUZIA FARACO RAMOS									
9788508160365	ÁTICA	3			Informativo Infantil	TURMA DA MATEMÁTICA	ONDE ESTÃO AS MULTIPLICAÇÕES?	LUZIA FARACO RAMOS									
9788508119691	ÁTICA	2			Informativo Infantil	XERETA	CHUÁ...CHUÁ... TCHIBUM! - UM LIVRO SOBRE A ÁGUA	BRITA GRANSTRÖM, MICK MANNING									
9788508119677	ÁTICA	2			Informativo Infantil	XERETA	RECICLAGEM - A AVENTURA DE UMA GARRAFA	BRITA GRANSTRÖM, MICK MANNING									
9788508119776	ÁTICA	2			Informativo Infantil	XERETA	SAI, SUJEIRA!	BRITA GRANSTRÖM, MICK MANNING									
9788508076932	ÁTICA	13			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	AVENTURA DECIMAL	LUZIA FARACO RAMOS									
9788508111794	ÁTICA	1			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	CÓDIGO POLINÔMIO, O	LUZIA FARACO RAMOS									
9788508081387	ÁTICA	13			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	COMO ENCONTRAR A MEDIDA CERTA	CARLOS MARCONDES									
9788508076970	ÁTICA	10			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	ENCONTROS DE PRIMEIRO GRAU	LUZIA FARACO RAMOS									
9788508080342	ÁTICA	19			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	FRAÇÕES SEM MISTÉRIOS	LUZIA FARACO RAMOS									
9788508080328	ÁTICA	17			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	HISTÓRIA DE SINAIS	LUZIA FARACO RAMOS									
9788508076918	ÁTICA	10			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	MIL E UMA EQUAÇÕES, AS	ERNESTO ROSA									
9788508082070	ÁTICA	21			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	PROPORÇÃO ECOLÓGICA, UMA	LUZIA FARACO RAMOS									
9788508076956	ÁTICA	18			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	QUE FAZER PRIMEIRO?, O	LUZIA FARACO RAMOS									
9788508080366	ÁTICA	13			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	RAIZ DIFERENTE, UMA	LUZIA FARACO RAMOS									
9788508081363	ÁTICA	13			Informativo Juvenil	A DESCOBERTA DA MATEMÁTICA	SEGREDO DOS NÚMEROS, O	LUZIA FARACO RAMOS									
9788508160525	ÁTICA	3			Informativo Juvenil	AVULSO	ÁFRICA E BRASIL AFRICANO	MARINA DE MELLO E SOUZA									
9788508162611	ÁTICA	1			Informativo Juvenil	AVULSO	ALICE NO PAÍS DAS CIÊNCIAS	CARLO FRABETTI									
9788508122370	ÁTICA	2			Informativo Juvenil	AVULSO	ALICE NO PAÍS DOS NÚMEROS	CARLO FRABETTI									
2719733	ÁTICA				Informativo Juvenil	AVULSO	MEUS HERÓIS NÃO VIRARAM ESTÁTUA	LUIZ BOLOGNESI, PEDRO PUNTONI									
9788508104239	ÁTICA	1			Informativo Juvenil	AVULSO	MODERNISMO NO BRASIL - PANORAMA DAS ARTES VISUAIS	BEÁ MEIRA									
9788508160464	ÁTICA	8			Informativo Juvenil	AVULSO	SEXUALIDADE: A DIFÍCIL ARTE DO ENCONTRO	LIDIA ROSENBERG ARATANGY									
9788508099757	ÁTICA	1			Informativo Juvenil	DE OLHO NA CIÊNCIA	ÁGUA	SÔNIA SALEM									
9788508101658	ÁTICA	1			Informativo Juvenil	DE OLHO NA CIÊNCIA	CORPO: LIMITES E CUIDADOS	LIDIA ROSENBERG ARATANGY									
9788508164271	ÁTICA	2			Informativo Juvenil	DE OLHO NA CIÊNCIA	LIXO E SUSTENTABILIDADE	SONIA MUHRINGER, MICHELLE SHAYER, ROSANA RIOS									
9788508099771	ÁTICA	1			Informativo Juvenil	DE OLHO NA CIÊNCIA	MEIO AMBIENTE E SOCIEDADE	MARCELO LEITE									
9788508091751	ÁTICA	13			Informativo Juvenil	DE OLHO NA CIÊNCIA	NUTRIÇÃO	FERNANDO GEWANDSZNAJDER									
9788508091775	ÁTICA	12			Informativo Juvenil	DE OLHO NA CIÊNCIA	ORIGEM E HISTÓRIA DA VIDA	FERNANDO GEWANDSZNAJDER, ULISSES CAPOZZOLI									
9788508091812	ÁTICA	12			Informativo Juvenil	DE OLHO NA CIÊNCIA	PEQUENOS SERES VIVOS	GILBERTO MARTHO									
9788508091690	ÁTICA	16			Informativo Juvenil	DE OLHO NA CIÊNCIA	SEXO E REPRODUÇÃO	FERNANDO GEWANDSZNAJDER									
9788508094066	ÁTICA	10			Informativo Juvenil	FIRST READERS SERIES	HAPPINESS	AMADEU MARQUES									
9788508094127	ÁTICA	9			Informativo Juvenil	FIRST READERS SERIES	INSPECTORS HOLIDAYS, THE	AMADEU MARQUES									
9788508099252	ÁTICA	10			Informativo Juvenil	GILBERTO DIMENSTEIN	APRENDIZ DO FUTURO	GILBERTO DIMENSTEIN									
9788508081103	ÁTICA	1			Informativo Juvenil	GILBERTO DIMENSTEIN	BRASIL NA PONTA DA LÍNGUA, O	GILBERTO DIMENSTEIN, PASQUALE CIPRO NETO									
9788508161874	ÁTICA	24			Informativo Juvenil	GILBERTO DIMENSTEIN	CIDADÃO DE PAPEL, O	GILBERTO DIMENSTEIN									
9788508147274	ÁTICA	1			Informativo Juvenil	GILBERTO DIMENSTEIN	CIDADÃO INVISÍVEL, O	GILBERTO DIMENSTEIN, IVAN JAF, EDUARDO FERIGATO									
9788508090631	ÁTICA	1			Informativo Juvenil	GILBERTO DIMENSTEIN	QUEBRA-CABEÇA BRASIL - TEMAS DE CIDADANIA NA HISTÓRIA DO BRASIL	GILBERTO DIMENSTEIN, ALVARO CÉSAR GIANSANTI									
9788508109371	ÁTICA	2			Informativo Juvenil	JOVEM CIDADÃO	COR DO PRECONCEITO, A	CARMEN CAMPOS, SUELI CANEIRO, VERA VILHENA									
9788508125760	ÁTICA	2			Informativo Juvenil	JOVEM CIDADÃO	DE CARA COM A VIOLÊNCIA	IVAN JAF, REGINA CÉLIA PEDROSO									
9788508128464	ÁTICA	1			Informativo Juvenil	JOVEM CIDADÃO	DE OLHO NA CORRUPÇÃO	IVAN JAF, RITA BIASON									
9788508128327	ÁTICA	2			Informativo Juvenil	JOVEM CIDADÃO	PREÇO DO CONSUMO, O	IVAN JAF, DANIELA PALMA									
9788508090525	ÁTICA	6			Informativo Juvenil	O COTIDIANO DA HISTÓRIA	ANTIGO EGITO - O NOVO IMPÉRIO	MARTIN CEZAR FEIJÓ									
9788508090440	ÁTICA	15			Informativo Juvenil	O COTIDIANO DA HISTÓRIA	DEMOCRACIA GREGA, A	MARTIN CEZAR FEIJÓ									
9788508090488	ÁTICA	10			Informativo Juvenil	O COTIDIANO DA HISTÓRIA	NO TEMPO DO FEUDALISMO	HELOISA STEINMANN									
9788508090549	ÁTICA	12			Informativo Juvenil	O COTIDIANO DA HISTÓRIA	REVOLUÇÃO FRANCESA	CARLOS GUILHERME MOTA									
9788508090563	ÁTICA	12			Informativo Juvenil	O COTIDIANO DA HISTÓRIA	REVOLUÇÃO INDUSTRIAL	FRANCISCO M. P. TEIXEIRA									
9788508085330	ÁTICA	1			Informativo Juvenil	POR DENTRO DA ARTE	COMO E POR QUE SE FAZ ARTE	ELISABETH NEWBERY									
9788508085347	ÁTICA	1			Informativo Juvenil	POR DENTRO DA ARTE	SEGREDOS DA ARTE, OS	ELISABETH NEWBERY									
9788508166459	ÁTICA	2			Informativo Juvenil	QUE MUNDO É ESSE?	JOVENS BRASILEIROS	IVAN JAF, MARIA ODETTE SIMÃO BRANCATELLI, VERA LÚCIA VILHENA DE TOLEDO									
9788508084999	ÁTICA	1			Informativo Juvenil	QUE MUNDO É ESSE?	TRABALHO INFANTIL: O DIFÍCIL SONHO DE SER CRIANCA	CRISTINA PORTO, IOLANDA HUZAK, JÔ AZEVEDO									
9788508084173	ÁTICA	1			Informativo Juvenil	SABER MAIS	DESCOBRINDO A LITERATURA	MARISA LAJOLO									
9788508094288	ÁTICA	8			Informativo Juvenil	SHAKESPEARE ROAD SERIES	FINAL TEST, THE	AMADEU MARQUES									
9788508094325	ÁTICA	9			Informativo Juvenil	SHAKESPEARE ROAD SERIES	LOVE LESSON, A	AMADEU MARQUES									
9788508094264	ÁTICA	7			Informativo Juvenil	SHAKESPEARE ROAD SERIES	WORK OF ART, A	AMADEU MARQUES									
9788508114894	ÁTICA	1			Informativo Juvenil	UNIVERSO JOVEM	ESTUDAR: QUAL O SEGREDO?	FERNANDA WENDEL									
9788508097616	ÁTICA	1			Informativo Juvenil	UNIVERSO JOVEM	EU NÃO SOU ASSIM! - COMO ENCARAR AS MUDANÇAS DO CORPO NA ADOLESCÊNCIA	PHILIPPE ELIAKIM, VÉRONIQUE LE JEUNE									
9788508108572	ÁTICA	1			Informativo Juvenil	UNIVERSO JOVEM	FACES DA VIOLÊNCIA, AS	PIERRE MEZINSKI									
9788508081820	ÁTICA	1			Informativo Juvenil	UNIVERSO JOVEM	LIVRO DO ADOLESCENTE, O	LILIANA E MICHELE IACOCCA									
9788508121632	ÁTICA	1			Informativo Juvenil	UNIVERSO JOVEM	SEU CORPO: COMO CUIDAR DELE?	FERNANDA WENDEL									
9788508108619	ÁTICA	1			Informativo Juvenil	UNIVERSO JOVEM	SEXO: A HORA É AGORA?	FERNANDA WENDEL									
9788508092307	ÁTICA	17			Informativo Juvenil	VIAGEM PELA GEOGRAFIA	ÊXODO RURAL E URBANIZAÇÃO	JOSÉ WILLIAM VESENTINI									
9788508043484	ÁTICA	5			Informativo Juvenil	WORDPLAY SERIES	HOME SWEET HOME	AMADEU MARQUES									
9788508046546	ÁTICA	9			Literatura Infantil	ABRACADABRA	BRUXA SALOMÉ, A	AUDREY E DON WOOD									
9788508032761	ÁTICA	16			Literatura Infantil	ABRACADABRA	CASA SONOLENTA, A	AUDREY E DON WOOD									
9788508040469	ÁTICA	10			Literatura Infantil	ABRACADABRA	MEUS PORQUINHOS	AUDREY E DON WOOD									
9788508046676	ÁTICA	5			Literatura Infantil	ABRACADABRA	PALAVRA FEIA DE ALBERTO, A	AUDREY E DON WOOD									
9788508032754	ÁTICA	9			Literatura Infantil	ABRACADABRA	REI BIGODEIRA E SUA BANHEIRA, O	AUDREY E DON WOOD									
9788508131136	ÁTICA	2			Literatura Infantil	ABRINDO CAMINHO	ABRINDO CAMINHO	ANA MARIA MACHADO									
9788508150885	ÁTICA	2			Literatura Infantil	ABRINDO CAMINHO	DE FORA DA ARCA	ANA MARIA MACHADO									
9788508171606	ÁTICA	1			Literatura Infantil	ABRINDO CAMINHO	DE NOITE NO BOSQUE	ANA MARIA MACHADO									
9788508131143	ÁTICA	26			Literatura Infantil	ABRINDO CAMINHO	HISTÓRIA MEIO AO CONTRÁRIO	ANA MARIA MACHADO									
9788508128372	ÁTICA	8			Literatura Infantil	ABRINDO CAMINHO	MENINO PEDRO E SEU BOI VOADOR, O	ANA MARIA MACHADO									
9788508128747	ÁTICA	2			Literatura Infantil	ABRINDO CAMINHO	PROCURA-SE LOBO	ANA MARIA MACHADO									
9788508128426	ÁTICA	2			Literatura Infantil	ABRINDO CAMINHO	TAPETE MÁGICO	ANA MARIA MACHADO									
9788575956731	ÁTICA	1			Literatura Infantil	ABRINDO CAMINHO	UMA, DUAS, TRÊS PRINCESAS	ANA MARIA MACHADO									
9788508153329	ÁTICA	1			Literatura Infantil	AGAQUÊ	AKISSI - O ATAQUE DOS GATOS 	MARGUERITE ABOUET, MATHIEU SAPIN									
9788508148745	ÁTICA	1			Literatura Infantil	AVULSO	ALMANAQUE ÁTICA - RECREIO	ANGELA CARNEIRO, CLAUDIO GALPERIN, FERNANDA LOPES DE ALMEIDA, JOEL RUFINO DOS SANTOS, JOSÉ PAULO PAES, MARIA JOSÉ DUPRÉ, MARINA COLASANTI, MICHELE IACOCCA, RICARDO AZEVEDO, ROSANA RIOS									
9788508094547	ÁTICA	1			Literatura Infantil	AVULSO	EVANGELHO DAS CRIANÇAS, O	FERNANDO SABINO									
9788508174386	ÁTICA	1			Literatura Infantil	AVULSO	JACARÉ E A BOLA, O	FERNANDO A. PIRES									
9788508074471	ÁTICA	1			Literatura Infantil	AVULSO	LIVRO DOS SENTIDOS, O	RICARDO AZEVEDO									
9788508081844	ÁTICA	1			Literatura Infantil	AVULSO	NO OLHO DA RUA - HISTORINHAS QUASE TRISTES	GEORGINA MARTINS									
